tracking_value,uses,candidate_equipment_unit,candidate_type,decision,notes
G-30,335,G30,,,
31 429,119,31429,,,
G 30,100,G30,,,
31 419,99,31419,31 Ft Roll Up Door Trailer,,
DV-2114,59,DV2114,53 Ft Swing Door Trailer,,
23-27,55,2327,28 Ft Roll Up Door Trailer,,
5327,50,53-27,53 Ft Swing Door Trailer,,
P111,35,P 111,48 Ft Roll Up Door Trailer,,
3148,31,31-48,48 Ft Roll Up Door Trailer,,
DV-2524,30,DV2524,,,
31 417,22,31417,31 Ft Roll Up Door Trailer,,
DV-2505,13,DV2505,,,
28 48,10,28-48,48 Ft Roll Up Door Trailer,,
31 -48,8,31-48,48 Ft Roll Up Door Trailer,,
Dv 2524,7,DV2524,,,
DV-2550,6,DV2550,53 Ft Swing Door Trailer,,
DV 2505,5,DV2505,,,
t 02,5,T02,28 Ft Roll Up Door Trailer,,
31-417,4,31417,31 Ft Roll Up Door Trailer,,
3048,4,30-48,48 Ft Roll Up Door Trailer,,
2548,3,25-48,48 Ft Roll Up Door Trailer,,
T 08,3,T08,28 Ft Roll Up Door Trailer,,
3627,3,36-27,28 Ft Roll Up Door Trailer,,
2848,3,28-48,48 Ft Roll Up Door Trailer,,
T 03,2,T03,28 Ft Roll Up Door Trailer,,
3827,2,38-27,28 Ft Roll Up Door Trailer,,
48-68,2,4868,28 Ft Roll Up Door Trailer,,
31-429,2,31429,,,
20-27,2,2027,28 Ft Roll Up Door Trailer,,
2 A,1,2A,28 Ft Roll Up Door Trailer,,
3127,1,31-27,28 Ft Roll Up Door Trailer,,
O3,1,03,28 Ft Swing Door Trailer,,
T 01,1,T01,28 Ft Roll Up Door Trailer,,
  40-48,1,40-48,48 Ft Swing Door Trailer,,
Dv 25-47,1,DV2547,,,
Dv 25-47,1,DV-2547,,,
40 - 48,1,40-48,48 Ft Swing Door Trailer,,
23 48,1,23-48,48 Ft Roll Up Door Trailer,,
P 112,1,P112,48 Ft Swing Door Trailer,,
2827,1,28-27,28 Ft Roll Up Door Trailer,,
20 27 ,1,2027,28 Ft Roll Up Door Trailer,,
DB-7999,1,DB7999,48 Ft Swing Door Trailer,,
2048,1,20-48,48 Ft Roll Up Door Trailer,,
36 27,1,36-27,28 Ft Roll Up Door Trailer,,
2648,1,26-48,48 Ft Swing Door Trailer,,
T 06,1,T06,28 Ft Roll Up Door Trailer,,
4048,1,40-48,48 Ft Swing Door Trailer,,
31-419,1,31419,31 Ft Roll Up Door Trailer,,
