id,unit,make,model,model_year,vin,plate,status,location,decision,notes
1623160679,060,,,1974,M1S207748,HT4892,Active,OTR,,
794213292,1,Comet,,,,HU05017,Active,OTR California,,
1469058623,13,Ford,F150,2002,1FTRW07L32KB62511,327 LBY,Active,Maintenance,,
2009308132,138,Fruehauf,,1983,DJ019939,HS19116,Active,OTR,,
1976057344,143,,,,,4LH1850,Active,Mattress shop,,
1818981924,149,,,,4LH1853,,Active,OTR,,
133112805,151,,,,012821S,,Active,OTR,,
156019099,19,,,,,,Active,OTR,,
162480771,223,,,,6fa30020,1WZ2130,Active,Seasonal Storage,,
2085371305,24-27,,,,,HQ50040,Active,OTR California,,
749981281,2571785,,,1999,1L01A5328X1138175,,Active,NULL,,
1413093167,27,Fruehauf,,1989,1H4VO2814KJO17717,HP93944,Active,OTR,,
1808291689,278484,Great Dane,,2000,1GRAA56467K282793,HV75045,Active,OTR,,
1844364197,281174,,,,,HV00776,Active,OTR,,
1693635865,281279,,,,,05024,Active,NULL,,
1475503706,281556,,,,,,Active,OTR,,
346382816,281577,Pines,,2000,1PNK281B4YK229449,HV34440,Active,DR3  Woodland,,
1833174369,281617,Great Dane,,2000,1PNK281B5YK229489,HV34439,Active,OTR California,,
1628564883,28236,Fruehauf,,1983,4V02819DUO19837,,Active,OTR,,
1246153443,28347,Fruehauf,,1988,1H4VO2817DJO19948,GT*7216,To BE Scrapped,General Stores,,
116326565,283617,,,,,,Active,OTR,,
764419945,28367,Strick,,2000,1S11E82834E496101,,Active,OTR,,
57854396,284214,Great Dane,,2004,1GRAA561X4K259190,,Active,OTR,,
1124528151,284241,,,,,75043,Active,OTR,,
1266898532,2857027,Wabash,,,1JJV281N8TL371927,HU54573,Active,NULL,,
666680028,285854,,,,,HV34422,Active,OTR,,
264513642,285857,Great Dane,,2000,,,Active,DR3  Woodland,,
131775624,285859,Great Dane,,2006,1GRAA56155K270298,,Active,OTR California,,
1563812709,285959,Great Dane,,2005,1GRAA56195K27039,HV86921,Active,OTR,,
1719146323,287067,Great Dane,,2006,1GRAA56116K280593,,Active,General Stores,,
456672015,287359,Great Dane,,2007,1GRAA56137K82668,HV75046,Active,OTR,,
322691737,287484,Great Dane,,2007,1GRAA56167K282793,,Active,OTR,,
182120857,287993,Fruehauf,,,FA30454,,Active,DR3  Woodland,,
1783787440,288214,,,,,,Active,OTR,,
1500939157,31429,,,,,HP00871,Active,General Stores,,
1024223794,39,,,,,,Active,Store Loads,,
880718229,44,Fruehauf,Dry van,1986,1H4V02810GJ027720,HR28310,Active,Cleveland WareHouse,,
1740379511,4500,,,,,,Active,Seasonal Storage,,
