trailer_number,uses,first_seen,last_seen,decision,notes
945,584,2013-02-03,2025-06-10,,
282829,516,2018-05-04,2025-10-09,,
901,498,2013-02-03,2026-05-14,,
87,323,2012-11-15,2021-01-20,,
937,296,2013-02-07,2021-10-20,,
9,156,2012-10-23,2015-12-28,,
48150,110,2015-09-15,2023-02-11,,
129,80,2012-12-17,2022-04-06,,
115,80,2012-11-26,2018-05-02,,
36,80,2012-12-18,2024-08-28,,
285124,76,2018-01-03,2023-01-28,,
52,69,2012-12-13,2022-12-13,,
82,65,2012-11-28,2018-08-23,,
1138,65,2012-11-15,2020-08-20,,
4555,64,2012-10-29,2020-11-10,,
5380,54,2013-02-19,2019-07-23,,
5327,50,2014-08-21,2023-02-27,,
140,49,2012-11-15,2023-09-27,,
2849,48,2019-01-04,2025-04-08,,
120,48,2013-03-19,2020-09-01,,
5381,42,2013-02-19,2022-10-28,,
48026,41,2014-08-06,2020-08-28,,
40,40,2012-11-15,2015-12-31,,
108,39,2012-11-12,2025-05-07,,
5312,38,2015-07-22,2018-12-26,,
48060,36,2015-03-17,2024-12-19,,
5305,32,2015-10-12,2019-06-25,,
3148,31,2018-01-04,2018-11-02,,
283373,30,2018-09-11,2024-10-24,,
807,27,2014-09-23,2023-02-08,,
53216,26,2015-01-23,2024-07-16,,
205,26,2021-04-22,2022-07-06,,
251810,26,2014-06-09,2024-10-03,,
789,23,2013-04-11,2014-07-23,,
4533,21,2012-10-29,2020-12-31,,
289924,20,2019-04-30,2022-02-23,,
9917,19,2018-05-23,2025-05-20,,
6175,19,2013-04-05,2015-12-31,,
901221,16,2018-02-23,2018-06-20,,
284459,16,2022-09-16,2026-01-15,,
288995,14,2022-09-16,2025-08-14,,
104,14,2015-02-25,2015-09-03,,
101,14,2012-09-27,2025-02-22,,
53489,13,2018-01-11,2019-01-11,,
251785,13,2015-02-24,2023-08-18,,
786520,12,2019-03-06,2024-06-29,,
537663,11,2018-10-20,2019-05-21,,
532524,11,2021-06-15,2024-11-19,,
109,10,2014-04-06,2025-06-03,,
289413,9,2021-12-13,2021-12-17,,
45362,9,2014-10-04,2014-10-05,,
147,9,2012-11-15,2015-10-05,,
531767,9,2018-02-20,2022-07-08,,
161,9,2014-07-23,2020-11-04,,
99250,8,2018-03-26,2021-12-09,,
283678,7,2018-02-13,2019-01-21,,
5385,7,2013-09-22,2014-07-29,,
455,6,2015-07-23,2021-06-03,,
5384,6,2013-03-11,2013-06-05,,
537639,6,2020-03-04,2021-09-22,,
5340,6,2022-03-15,2022-04-05,,
901830,6,2023-08-12,2026-03-11,,
1148,5,2018-07-09,2019-11-13,,
90322,5,2022-05-14,2023-01-04,,
4808,5,2018-03-23,2022-09-06,,
268203,5,2023-01-13,2023-04-28,,
99145,5,2018-11-30,2019-01-10,,
419,5,2022-11-02,2023-01-28,,
2114,5,2022-08-27,2022-09-10,,
5389,5,2023-07-04,2023-12-19,,
99171,5,2018-02-01,2018-04-20,,
141,5,2012-11-20,2022-04-01,,
531415,5,2018-06-11,2018-08-01,,
252,4,2019-08-05,2022-12-14,,
539872,4,2025-08-01,2025-09-03,,
281292,4,2023-05-02,2023-05-02,,
522,4,2024-01-24,2024-07-24,,
534,4,2015-12-11,2023-07-11,,
5072,4,2026-03-06,2026-05-15,,
3048,4,2018-02-14,2020-01-15,,
53643,4,2018-08-30,2021-10-14,,
283532,4,2018-01-24,2018-06-11,,
01,4,2018-02-23,2018-07-18,,
286494,4,2018-12-07,2019-12-05,,
4880,3,2012-11-07,2018-01-03,,
9077,3,2020-08-07,2021-12-07,,
947,3,2013-09-09,2020-01-10,,
52151,3,2022-08-11,2023-06-16,,
5392,3,2018-01-23,2019-01-29,,
2548,3,2018-02-19,2023-01-25,,
2547,3,2022-08-31,2023-02-06,,
904594,3,2022-11-02,2022-11-17,,
5326,3,2020-10-13,2020-10-14,,
902048,3,2024-05-15,2024-05-24,,
4893,3,2022-03-18,2023-12-20,,
4823,3,2014-09-09,2023-07-01,,
781418,3,2018-11-30,2018-12-12,,
2848,3,2020-07-08,2022-03-23,,
5301,3,2014-05-20,2014-05-22,,
533,3,2012-12-18,2013-03-08,,
3627,3,2026-05-21,2026-05-27,,
4566,3,2012-10-29,2021-04-07,,
100,3,2012-11-15,2013-12-04,,
282793,3,2024-08-24,2024-12-24,,
786513,3,2018-06-05,2023-05-20,,
48238,3,2019-10-03,2020-05-13,,
289927,3,2022-09-15,2022-09-24,,
942,3,2019-01-14,2020-01-31,,
287,2,2021-01-20,2022-07-22,,
94515,2,2025-05-29,2025-10-13,,
5217,2,2018-04-05,2019-01-28,,
682829,2,2018-08-24,2018-08-24,,
282839,2,2022-02-03,2022-06-25,,
99107,2,2018-02-21,2018-08-28,,
535441,2,2018-12-19,2023-09-20,,
946,2,2015-07-10,2019-12-02,,
540010,2,2021-10-13,2022-02-21,,
526737,2,2018-09-04,2021-05-21,,
87469,2,2013-08-07,2015-05-04,,
124,2,2014-10-09,2022-05-13,,
536862,2,2018-08-08,2018-11-02,,
281286,2,2019-01-08,2021-05-25,,
901151,2,2023-08-25,2026-03-11,,
537320,2,2018-03-09,2019-11-20,,
283829,2,2023-07-22,2023-08-10,,
99241,2,2022-04-14,2026-06-05,,
285,2,2021-01-26,2021-01-26,,
567663,2,2021-03-12,2021-03-15,,
5333,2,2012-11-07,2015-09-16,,
650317,2,2021-02-16,2021-03-30,,
48108,2,2020-03-06,2024-07-18,,
53152,2,2019-06-21,2019-10-23,,
735742,2,2013-06-25,2013-06-27,,
1139,2,2014-10-22,2014-10-23,,
47157,2,2018-11-28,2019-12-17,,
3827,2,2021-12-13,2021-12-13,,
271785,2,2014-11-18,2015-02-12,,
68556,2,2018-04-03,2023-12-01,,
585269,2,2022-01-06,2022-01-06,,
2828,2,2018-03-23,2023-12-05,,
535500,2,2018-01-11,2018-01-17,,
28849,2,2012-11-15,2013-01-09,,
4449,2,2018-07-13,2018-08-17,,
28106,2,2021-02-09,2021-02-12,,
901599,2,2020-03-07,2020-03-07,,
5555555,2,2022-06-30,2022-07-01,,
999,2,2021-11-08,2022-12-01,,
48080,2,2020-07-31,2020-08-04,,
2524,2,2022-07-26,2022-07-26,,
283310,2,2019-08-21,2019-08-21,,
281699,2,2024-02-20,2024-03-21,,
284158,2,2022-09-16,2024-04-05,,
1069,2,2012-10-29,2018-01-30,,
4848,2,2021-05-26,2021-05-27,,
537301,2,2023-12-19,2023-12-19,,
316,2,2022-08-10,2022-08-18,,
28192,2,2018-03-22,2019-12-10,,
187,1,1000-01-01,1000-01-01,,
1234,1,2025-05-08,2025-05-08,,
527,1,2024-04-17,2024-04-17,,
291124,1,2024-12-18,2024-12-18,,
162,1,1000-01-01,1000-01-01,,
248037,1,2022-01-19,2022-01-19,,
194,1,1000-01-01,1000-01-01,,
536229,1,2018-08-14,2018-08-14,,
49042,1,2018-05-31,2018-05-31,,
4082,1,2019-09-11,2019-09-11,,
283839,1,2023-04-08,2023-04-08,,
526841,1,2021-06-22,2021-06-22,,
29236,1,2015-11-18,2015-11-18,,
48023,1,2015-06-19,2015-06-19,,
28757,1,2018-05-31,2018-05-31,,
535060,1,2018-06-18,2018-06-18,,
683846,1,2019-08-30,2019-08-30,,
5797983,1,2022-05-10,2022-05-10,,
289990,1,2018-10-02,2018-10-02,,
288484,1,2022-12-17,2022-12-17,,
5868,1,2015-04-27,2015-04-27,,
282826,1,2022-04-28,2022-04-28,,
4858,1,2022-02-23,2022-02-23,,
57686,1,2022-05-12,2022-05-12,,
283826,1,2022-10-20,2022-10-20,,
28163,1,2018-03-05,2018-03-05,,
5329,1,2018-07-20,2018-07-20,,
4538,1,2015-03-06,2015-03-06,,
31411,1,2018-06-08,2018-06-08,,
5328,1,2015-12-31,2015-12-31,,
533448,1,2019-10-24,2019-10-24,,
192,1,1000-01-01,1000-01-01,,
406,1,2022-05-26,2022-05-26,,
175,1,1000-01-01,1000-01-01,,
532434,1,2023-06-13,2023-06-13,,
188,1,1000-01-01,1000-01-01,,
936,1,2015-03-30,2015-03-30,,
235,1,2024-11-27,2024-11-27,,
2856,1,2022-12-31,2022-12-31,,
636220,1,2022-02-04,2022-02-04,,
958,1,2019-09-20,2019-09-20,,
2648,1,2018-03-29,2018-03-29,,
534235,1,2021-11-30,2021-11-30,,
185,1,1000-01-01,1000-01-01,,
686829,1,2022-02-16,2022-02-16,,
53620,1,2020-06-17,2020-06-17,,
28282,1,2020-09-08,2020-09-08,,
532660,1,2018-08-16,2018-08-16,,
4826,1,2019-01-11,2019-01-11,,
5399156,1,2020-03-31,2020-03-31,,
636186,1,2018-05-07,2018-05-07,,
