type,rows_with_type,proposed_class,decision,notes
28 Ft Roll Up Door Trailer,190,trailer-28,,
,146,,,handled row-by-row in blank_types.csv
53 Ft Swing Door Trailer,55,trailer-53,,
Forklift,43,forklift,,
48 Ft Roll Up Door Trailer,32,trailer-48,,
53 Ft Roll Up Door Trailer,25,trailer-53,,
48 Ft Swing Door Trailer,21,trailer-48,,
Box Truck,13,box-truck,,
RollOff Truck,11,rolloff-truck,,
Semi Truck (Day Cab S/A),8,semi-tractor,,
28 Ft Swing Door Trailer,7,trailer-28,,
Semi Truck (sleeper),7,semi-tractor,,
Hydraulic Pallet Tipper,6,pallet-tipper,,
Semi Truck (day Cab),6,semi-tractor,,
Bus,6,bus,,
Passenger Van,5,van-passenger,,
Cargo Van,5,van-cargo,,
Vehicle,4,,,ambiguous — needs call
Sheer Machine,4,shear,,
Converter Dolly,3,dolly,,
Baler,3,baler,,
Foam Baler - Horizontal,3,baler,,
Truck,3,truck,,
Garbage Truck,2,garbage-truck,,
Flat Bed trailer,2,trailer-flatbed,,
Heavy Duty Box Truck,2,box-truck,,
Topper Baler - Horizontal,2,baler,,
Horizontal Baler,2,baler,,
Metal Baler - Vertical,2,baler,,
Trash Baler - Down Stroke,2,baler,,
31 Ft Roll Up Door Trailer,2,trailer-31,,
Metal Baler - Horizontal,2,baler,,
Hot Melt Machine,1,hot-melt,,
Metal Bailer,1,baler,,
Powered Stacker,1,stacker,,
Vehicle Lift,1,vehicle-lift,,
Van,1,,,ambiguous — needs call
Flat Bed Truck,1,flatbed-truck,,
Yard Jockey Truck,1,yard-jockey,,
