id,bonus_employee_id,site_code,period_year,period_number,entry_date,mattress_count,legacy_total_dollars,source_sheet_name,source_row_index,source_count_col,source_total_col,original_site_code,total_source,raw_count,raw_total,formula_version,merge_strategy,merge_source_count,import_session_id
18c1a330-8807-9526-c54a-4caf2cfbfe7f,c319ceaf-411a-91de-f559-85b9d1dd3490,woodland,2025,1,2025-01-02,77.0,14.0,Woodland Jan 2025,1,6,9,woodland,spreadsheet,77.0,14.0,legacy_pre_2026_06_05,,1,import_2026_06_08_historical
d07efd6c-5194-76d1-c97c-b83554f64fb2,0f97cd9f-3cea-5b9e-d02a-44520398bf93,woodland,2025,1,2025-01-02,65.0,7.5,Woodland Jan 2025,2,6,9,woodland,spreadsheet,65.0,7.5,legacy_pre_2026_06_05,,1,import_2026_06_08_historical
e94c3852-6855-4769-1eff-2c7101731b67,c17be8c9-900a-b8a1-2b66-ca24133ca63b,woodland,2025,1,2025-01-02,54.0,2.0,Woodland Jan 2025,4,6,9,woodland,spreadsheet,54.0,2.0,legacy_pre_2026_06_05,,1,import_2026_06_08_historical
ec3c12f6-9f06-3eda-a2d2-41802960e6fb,a9f4b7fd-a696-e187-cc02-4f5ef0e1b986,woodland,2025,1,2025-01-02,61.0,5.5,Woodland Jan 2025,9,6,9,woodland,spreadsheet,61.0,5.5,legacy_pre_2026_06_05,,1,import_2026_06_08_historical
389e1401-937d-f895-a853-d759d3a42010,426b752e-8009-a721-fa54-fd69102f92cf,woodland,2025,1,2025-01-02,66.0,8.0,Woodland Jan 2025,16,6,9,woodland,spreadsheet,66.0,8.0,legacy_pre_2026_06_05,,1,import_2026_06_08_historical
68d70dbc-bb19-a29d-35c5-4e4c4f8c4184,fddbc3e8-eab4-f12f-337e-a0105bf4d029,woodland,2025,1,2025-01-02,64.0,7.0,Woodland Jan 2025,17,6,9,woodland,spreadsheet,64.0,7.0,legacy_pre_2026_06_05,,1,import_2026_06_08_historical
960c1200-f653-c569-e0d4-b2e8f3d4ec7e,887049d8-84bb-a211-9b47-8d2667eb35e3,woodland,2025,1,2025-01-02,54.0,2.0,Woodland Jan 2025,22,6,9,woodland,spreadsheet,54.0,2.0,legacy_pre_2026_06_05,,1,import_2026_06_08_historical
4e95d192-e44b-64cd-4b3e-3cbaf61fec28,9c15dce8-1044-f844-9bb4-b0fc80d2b029,woodland,2025,1,2025-01-02,57.0,3.5,Woodland Jan 2025,23,6,9,woodland,spreadsheet,57.0,3.5,legacy_pre_2026_06_05,,1,import_2026_06_08_historical
19afa963-e85f-517d-5c27-0321445a8b2c,0c35e11b-fe27-fff2-5818-bd55226a4210,woodland,2025,1,2025-01-02,63.0,6.5,Woodland Jan 2025,24,6,9,woodland,spreadsheet,63.0,6.5,legacy_pre_2026_06_05,,1,import_2026_06_08_historical
25477d40-7064-49d7-dc80-6dd0a26c7a88,c319ceaf-411a-91de-f559-85b9d1dd3490,woodland,2025,1,2025-01-03,70.0,10.0,Woodland Jan 2025,1,10,13,woodland,spreadsheet,70.0,10.0,legacy_pre_2026_06_05,,1,import_2026_06_08_historical
846e35de-bccd-f833-ebf7-14fc15865cf9,c17be8c9-900a-b8a1-2b66-ca24133ca63b,woodland,2025,1,2025-01-03,59.0,4.5,Woodland Jan 2025,4,10,13,woodland,spreadsheet,59.0,4.5,legacy_pre_2026_06_05,,1,import_2026_06_08_historical
49a96277-5c9b-2970-02fc-13cdc6a11619,a9f4b7fd-a696-e187-cc02-4f5ef0e1b986,woodland,2025,1,2025-01-03,53.0,1.5,Woodland Jan 2025,9,10,13,woodland,spreadsheet,53.0,1.5,legacy_pre_2026_06_05,,1,import_2026_06_08_historical
eb0eaddc-e81c-fbba-2540-cdf689d81602,426b752e-8009-a721-fa54-fd69102f92cf,woodland,2025,1,2025-01-03,73.0,11.5,Woodland Jan 2025,16,10,13,woodland,spreadsheet,73.0,11.5,legacy_pre_2026_06_05,,1,import_2026_06_08_historical
