site_code,period_year,period_number,from_state,to_state,total_payout_cents,legacy_total_payout_cents,imported_with_legacy_formula,import_session_id,notes
eugene,2025,1,draft,historical_imported,10200,10200,false,import_2026_06_08_historical,Imported 6 entries; legacy formula
eugene,2025,2,draft,historical_imported,24400,24400,false,import_2026_06_08_historical,Imported 21 entries; legacy formula
eugene,2025,3,draft,historical_imported,15500,15500,false,import_2026_06_08_historical,Imported 21 entries; legacy formula
eugene,2025,4,draft,historical_imported,21900,21900,false,import_2026_06_08_historical,Imported 23 entries; legacy formula
eugene,2025,5,draft,historical_imported,23000,23000,false,import_2026_06_08_historical,Imported 26 entries; legacy formula
eugene,2025,6,draft,historical_imported,51900,51900,false,import_2026_06_08_historical,Imported 32 entries; legacy formula
eugene,2025,7,draft,historical_imported,44100,44100,false,import_2026_06_08_historical,Imported 22 entries; legacy formula
eugene,2025,8,draft,historical_imported,51300,51300,false,import_2026_06_08_historical,Imported 26 entries; legacy formula
eugene,2025,9,draft,historical_imported,47500,47500,false,import_2026_06_08_historical,Imported 30 entries; legacy formula
eugene,2025,10,draft,historical_imported,55000,55000,false,import_2026_06_08_historical,Imported 33 entries; legacy formula
eugene,2025,11,draft,historical_imported,43100,43100,false,import_2026_06_08_historical,Imported 27 entries; legacy formula
eugene,2025,12,draft,historical_imported,42200,42200,false,import_2026_06_08_historical,Imported 28 entries; legacy formula
eugene,2025,13,draft,historical_imported,43300,43300,false,import_2026_06_08_historical,Imported 32 entries; legacy formula
eugene,2025,14,draft,historical_imported,79900,79900,false,import_2026_06_08_historical,Imported 37 entries; legacy formula
eugene,2025,15,draft,historical_imported,86500,86500,false,import_2026_06_08_historical,Imported 33 entries; legacy formula
eugene,2025,16,draft,historical_imported,83300,83300,false,import_2026_06_08_historical,Imported 30 entries; legacy formula
eugene,2025,17,draft,historical_imported,79200,79200,false,import_2026_06_08_historical,Imported 29 entries; legacy formula
eugene,2025,18,draft,historical_imported,66100,66100,false,import_2026_06_08_historical,Imported 25 entries; legacy formula
eugene,2025,19,draft,historical_imported,120200,120200,false,import_2026_06_08_historical,Imported 34 entries; legacy formula
eugene,2025,20,draft,historical_imported,122700,122700,false,import_2026_06_08_historical,Imported 22 entries; legacy formula
eugene,2025,21,draft,historical_imported,89625,89625,false,import_2026_06_08_historical,Imported 20 entries; legacy formula
eugene,2025,22,draft,historical_imported,80150,80150,false,import_2026_06_08_historical,Imported 19 entries; legacy formula
eugene,2025,23,draft,historical_imported,64200,64200,false,import_2026_06_08_historical,Imported 12 entries; legacy formula
