site_code,holiday_date,name
eugene,2026-01-01,New Year's Day
eugene,2026-05-25,Memorial Day
eugene,2026-07-03,Independence Day (observed)
eugene,2026-09-07,Labor Day
eugene,2026-11-26,Thanksgiving Day
eugene,2026-12-25,Christmas Day
eugene,2027-01-01,New Year's Day
eugene,2027-05-31,Memorial Day
eugene,2027-07-05,Independence Day (observed)
eugene,2027-09-06,Labor Day
eugene,2027-11-25,Thanksgiving Day
eugene,2027-12-24,Christmas Day (observed)
woodland,2026-01-01,New Year's Day
woodland,2026-05-25,Memorial Day
woodland,2026-07-03,Independence Day (observed)
woodland,2026-09-07,Labor Day
woodland,2026-11-26,Thanksgiving Day
woodland,2026-12-25,Christmas Day
woodland,2027-01-01,New Year's Day
woodland,2027-05-31,Memorial Day
woodland,2027-07-05,Independence Day (observed)
woodland,2027-09-06,Labor Day
woodland,2027-11-25,Thanksgiving Day
woodland,2027-12-24,Christmas Day (observed)
