site_code,name,street,city,state,zip,haul_count_2023_2026,last_delivery_date,is_active,notes
woodland,1-800-Got-Junk? - Concord,1038 Shary Circle 7,Concord,CA,94518,61,2026-04-27,true,
woodland,Agiliti - Sutter Roseville Medical Center,1 Medical Plaza Dr,Roseville,CA,95661,1,2024-07-30,true,
woodland,Anderson Landfill,18703 Cambridge Road,Anderson,CA,96007,31,2026-04-24,true,
woodland,Bass Hill Landfill,469-700 Johnstonville Dump Rd.,Susanville,CA,96130,84,2026-04-27,true,
woodland,Bay Counties SMART Station,301 Carl Rd.,Sunnyvale,CA,94089,24,2026-04-23,true,
woodland,Beale AFB,2360 Burch Dr,Beale afb,CA,95903,1,2026-01-26,true,
woodland,Beck's Furniture,11840 Folsom Blvd.,Rancho Cordova,CA,95742,63,2026-01-29,true,
woodland,Best Western Treehouse,111 Morgan Way,Mt shasta,CA,90064,3,2024-05-30,true,
woodland,Big Oak Flat (Groveland) Transfer Station - County of Tuolumne,10700 Merrell Rd.,Groveland,CA,95321,13,2026-04-29,true,
woodland,Black Butte Transfer Station,3710 Springhill Road,Mt. Shasta,CA,96067,21,2026-04-23,true,
woodland,Blue Water Recycling Corporation,504 West 12th St.,Alturas,CA,96101,2,2026-01-13,true,
woodland,C&S Waste Solutions,3151 Taylor Dr,Ukiah,CA,95482,59,2026-03-27,true,
woodland,Cal State University Sacramento,6000 J Street,Sacramento,CA,95819,4,2025-06-05,true,
woodland,Camp Winthers/Sjusd,720 Chamberlain Rd,Soda Spring,CA,95630,1,2025-06-10,true,
woodland,Caspar Transfer Station,15000 Prairie Way,Mendocino,CA,95460,56,2026-04-14,true,
woodland,CCNB - Conservation Corps North Bay - Novato Office,11 Pimentel Court,Novato,CA,94949,35,2026-04-16,true,
woodland,CCNB - Conservation Corps North Bay - Santa Rosa Office,3555 Airway Dr.,Santa Rosa,CA,95403,139,2025-10-30,true,
woodland,Chester Transfer Station,3 New Chester Dump Road,Chester,CA,96020,2,2025-10-21,true,
woodland,Chico State University,1206 West Sacramento Avenue,Chico,CA,95926,3,2025-07-29,true,
woodland,City of Folsom - Corporation Yard,1300 Leidesdorff Street,Folsom,CA,95630,13,2026-03-23,true,
woodland,City of San Leandro - Public Works Department,14200 Chapman Rd.,San Leandro,CA,94578,5,2026-01-22,true,
woodland,"Clover Flat Resource Recovery Park - Clover Flat Landfill, Inc.",4390 Silverado Trail North,Calistoga,CA,94515,7,2026-04-03,true,
woodland,Costco-Innovel -Sacramento,3520 Carlin Dr,West Sacramento,CA,95691,23,2026-05-04,true,
woodland,Costco-Innovel- Benicia,4955 Industrial way,Benicia,CA,94510,215,2026-04-30,true,
woodland,Courtyard By Marriott Sacramento,2101 River Plaza Drive,Sacramento,CA,95833,2,2025-08-12,true,
woodland,Eastlake Landfill - County of Lake,16015 Davis Ave.,Clearlake,CA,95422,116,2025-10-28,true,
woodland,El Dorado Disposal,4100 Throwita Way,Placerville,CA,95667,74,2026-04-22,true,
woodland,Esparto Transfer Station,27075 County Road 19A,Esparto,CA,95627,44,2026-04-22,true,
woodland,European Sleep Works,5215 Central Ave Unit B,Richmond,CA,94804,1,2023-03-22,true,
woodland,Evans Furniture,379 Epley Drive,Yuba City,CA,95991,11,2025-03-21,true,
woodland,Florin Perkins Public Disposal Site (FPDS),4201 Florin Perkins Rd.,Sacramento,CA,95826,29,2025-12-31,true,
woodland,Glenn County Transfer Station,5700 County Rd 33,Artois,CA,95913,25,2026-04-09,true,
