name,is_internal,haul_count_2023_2026,is_active,notes
Ron Lawrence & Son,false,2377,true,
"St. Vincent de Paul Society of Lane County, Inc - DR3 parent account CA",true,1258,true,SVdP/DR3 internal hauling
CH Robinson Worldwide Inc. (CHR),false,856,true,
Titan Concepts International,false,113,true,
Fusion Transport California,false,104,true,
Total Quality Logistics,false,53,true,
Humboldt Sanitation,false,32,true,
"Humboldt Moving and Storage Co., Inc.",false,29,true,
KKW Trucking Inc.,false,12,true,
Garrett Ingram Trucking,false,2,true,
Transportek Logistics Inc.,false,1,true,
